actual_2024,product,best_model,ARIMA_pred,ARIMA_smape,Prophet_pred,Prophet_smape,Share x Demand_pred,Share x Demand_smape,Naive Last_pred,Naive Last_smape,Naive Drift_pred,Naive Drift_smape
0.241,640391,Naive Drift,7.798772811889648,,30.052029819943698,,60.51103701035662,,0.496,69.19945725915876,0.19690476190476186,20.139190952588102
3.8229999999999995,640399,Prophet,101.79891967773438,,5.720962773926591,39.77305483863972,32.78030199283361,158.22234834716838,50.903999999999996,172.05766806146875,43.056642857142855,167.38029757052635
2.67,640411,Prophet,2.176462411880493,20.366921113827747,2.461404501824382,8.130152206923286,19.70569118503276,,4.114999999999999,42.59395725865879,4.161249999999999,43.65965233302834
6.735999999999999,640419,Prophet,10.98397445678711,,9.19619759373541,30.883342731109103,23.767835326276938,,4.2010000000000005,46.35640486422234,4.004956521739131,50.852891411177026
2.537,640420,ARIMA,2.7946274280548096,9.664119690703986,1.8676891032883196,30.390834904193643,4.162043038613935,48.51567691824128,4.275,51.02759835584264,4.355588235294118,52.76938569989932
0.013999999999999999,640510,Share x Demand,171.49935913085938,,7.449158038302841,199.24964740512536,0.6165408909400529,191.1187361827539,30.072000000000003,199.81386691484414,21.428086956521742,199.73883139214223
0.798,640520,Naive Last,1.2474353313446045,,,,1.2942270563287637,,0.6990000000000001,13.22645290581162,0.3550000000000001,76.84301821335644
2.599,640590,Naive Drift,40.65415573120117,,16.023344463677613,,5.670411513413213,,6.133,80.94365551992671,3.8573214285714283,38.979516199516524
0.003,640610,Naive Last,6.9984283447265625,,4.653661035463431,,3.0690637505510288,,0.005,50.0,0.0,200.0
0.355,640620,Naive Last,43.49830627441406,,17.65078394587062,,1.780922038041427,,0.124,96.4509394572025,0.0741,130.92519226287578
0.024,640699,Naive Last,3.885192632675171,,0.5770607798748435,,3.25830527926195,,0.167,149.73821989528798,0.0,200.0
1.8299999999999996,650590,ARIMA,3.4992406368255615,62.644596128422116,5.647622382578929,102.10792113474668,8.410180352269617,128.5168839982627,62.607000000000006,188.6400670422273,65.12379166666668,189.06708669100766
0.331,650610,Naive Drift,21.68941879272461,,17.518143068666753,,3.8942558197547674,,0.597,57.32758620689654,0.4435454545454545,29.061032863849757
0.078,680291,Share x Demand,9.174837112426758,196.62806125073817,,,4.28049435066169,192.8415646574686,10.148,196.94895364756505,10.5968,197.07722861318246
0.068,680422,ARIMA,4.819015979766846,194.4342314179833,12.06094721810279,197.75743108524676,90.84607658084367,,79.327,199.65740915674792,84.90071428571429,199.67988217511993
0.004,680520,ARIMA,0.25800609588623047,193.89327185465655,,,1.6261693957664258,199.0185069084506,12.655999999999999,199.87361769352293,13.629307692307691,199.8826403660718
12.784,680530,Share x Demand,23.919492721557617,,,,14.515146059052894,12.68278542712008,9.905,25.377936444973347,10.473363636363636,19.870148652821594
2981.3669999999997,680911,Share x Demand,17579.9375,,43692.175,,7233.242196951039,83.25086383569491,7715.242999999999,88.51170604518626,8229.562333333331,93.62641003772863
432.11600000000004,680919,Naive Last,7540.7412109375,,15285.425000000003,,2782.983518370891,,2074.913,131.05528496080422,2204.5944375,134.44619570593252
56.77700000000001,680990,Naive Drift,181.73672485351562,,646.0820255883343,,5.938623414999315,,27.182,70.49869579199373,28.215999999999998,67.20788770839953
200.316,681019,Share x Demand,32.20761489868164,144.59467712521916,31.921789606373764,145.01878499536375,98.97231909971221,67.7231114165359,0.082,199.83632571183347,0.0,200.0
139.0,681099,Share x Demand,86.368408203125,46.70716025951431,225.59609147991074,47.50247932083616,142.92585175276312,2.7850243093037994,577.9139999999999,122.44537001648732,605.3707142857141,125.306035107315
0.6530000000000001,681310,Share x Demand,7.18161153793335,,3.1373405666249994,131.08798657832003,0.8971432430833908,31.499442928611572,4.726000000000001,151.4407882506042,4.873272727272728,152.7348697955222
26.487000000000002,681599,Naive Last,10.79261589050293,,11.404624452104002,,7.383737464505194,,28.003,5.564323729124603,29.864933333333333,11.98870432129509
1.77,690100,Naive Drift,6.48353385925293,,,,26.302921690336703,,8.56,131.4617618586641,4.638363636363637,89.51937808545652
1.163,690290,ARIMA,18.031391143798828,175.76375324880814,,,25.518855414387385,182.56493063262928,211.24099999999999,197.80983408975348,229.94599999999997,197.98709699752064
3.823,690390,Naive Last,118.34423065185547,,,,38.43958658609857,,33.779,159.3319504281687,35.38327272727273,160.99603727603886
38.587,690510,ARIMA,14.806187629699707,89.0780769083445,12.281697978550756,103.42431816336686,0.6348475753019449,193.52557194983632,0.011,199.8860044561894,0.0,200.0
7350.449,690790,Prophet,44736.84375,,7901.372253118302,7.224360212137469,24.620001124969065,,8947.369000000002,19.596733746812028,9416.428000000002,24.643575544807803
96.089,690810,ARIMA,43.94649887084961,74.47040436116816,28.844469679759026,107.64854364904511,0.3755346672932836,,10.549,160.43061572797689,11.204357142857143,158.22907422706902
41.981,691010,Prophet,91.129638671875,73.84629682835356,67.93615951729197,47.226765377263504,774.7105744614199,,95.319,77.69555717407137,93.7035,76.23936411307113
14.926,691090,Naive Last,56.719573974609375,,120.24779141996201,,149.4964213503402,,0.011,199.70542947044254,0.0,200.0
33.25800000000001,691110,Prophet,7.207666873931885,128.75276815393264,9.91167656138253,108.16075216788606,4.796380631202308,149.58393171408431,3.9109999999999996,157.91116252791304,3.9890740740740736,157.16094030751609
0.123,691190,Share x Demand,4.023462295532227,,4.417803757932118,,0.40978076383054235,107.65432361659235,2.618,182.05034658883622,2.711470588235294,182.64226123770393
14.193999999999999,691200,Share x Demand,24.942678451538086,,37.66162464957823,,17.945071435868314,23.342749297243166,19.197000000000003,29.966158545715928,19.75971428571429,32.7841262895707
0.017,691310,Naive Drift,0.4299136996269226,,,,0.5243745404260176,,0.337,180.79096045197738,0.29681818181818187,178.33140208574738
5.773999999999999,691390,Share x Demand,1.3456089496612549,,3.9453316110525534,37.62950914994885,5.157351010102724,11.282210027422405,3.926,38.10309278350514,3.9255714285714287,38.11361326715465
5.778999999999999,691490,ARIMA,4.688481330871582,20.836314575735944,3.642641349637267,45.35003129672267,20.284405437560732,,2.354,84.2247633099717,2.375192307692308,83.48607842119907
4835.132,700510,Naive Drift,15885.900390625,,10216.049376305084,,728.1953736131279,,3361.242,35.964439885246804,3601.3097142857146,29.249826585656646
512.633,700521,Share x Demand,105.66529846191406,,,,523.9042845483173,2.174795777506221,463.47299999999996,10.072676533081465,491.62581818181815,4.183619090587582
42591.236000000004,700529,Naive Drift,24127.09375,,363105.505,,51231.78630906542,,36775.927,14.654193951722833,38711.42821052632,9.544109844733386
8.357,700711,Naive Drift,26.92490005493164,,49.123740974279144,,22.711126004361958,,5.433,42.40754169688179,5.5160833333333334,40.95580770917302
637.394,700719,ARIMA,437.41632080078125,37.21171546812586,1959.899172849976,,4.9181250890976855,,80.554,155.1198694055837,85.70493333333333,152.59020342444612
12.666,700721,Naive Drift,173.61187744140625,,142.6879984582457,,4.454640709518513,,10.28,20.796653011418123,10.614090909090908,17.62801613551963
7967.014000000001,700729,Naive Drift,13106.7001953125,,43636.585000000014,,12617.341124984396,,4394.688,57.79666909944926,4638.606555555556,52.808307687439424
350.684,700800,ARIMA,75.73143768310547,128.95994751542185,,,27.486990412171092,170.9263892693484,3.1029999999999998,196.49167436904125,3.294083333333333,196.2776414829826
0.03,700910,Naive Drift,4.960495948791504,,3.6222037337413453,,101.45938776072234,,0.244,156.20437956204378,0.22957894736842105,153.7712895377129
92.617,700991,Naive Last,755.196044921875,,495.1074657926369,,1.3014707248409056,,132.054,35.1064445344526,139.34855555555555,40.291805775761716
0.336,700992,Share x Demand,8.240774154663086,,7.931812501189708,,2.064176021860188,144.00410687552946,7.7540000000000004,183.38689740420273,8.068565217391305,184.008690928843
1.183,701010,Naive Drift,2.751767158508301,,,,1.4238132457876902,,1.3250000000000002,11.323763955342912,1.0637500000000002,10.615333259152093
663.6909999999999,701090,Prophet,286.97515869140625,79.25302439021155,773.8110642907934,15.321030421632454,1049.0190660384667,44.99629840206853,82.837,155.6147927472245,85.98096153846154,154.1234214698316
0.077,701310,Naive Last,0.47104793787002563,,0.0,,0.2199125365484046,,0.08,3.821656050955417,0.0,200.0
0.033,701339,Naive Drift,7.679165363311768,,0.9140818882563443,,1.9750698164173954,,2.266,194.25837320574163,0.17704545454545473,137.15645964077046
0.39,701399,Prophet,6.461767673492432,,1.315098081805508,108.50966189885483,11.48015202663754,,3.9610000000000003,164.14617329349576,3.9422500000000005,163.99099774943738
0.028,701790,Naive Drift,1.0418789386749268,,1.0880288165534249,,0.8829896609642851,,0.357,170.90909090909088,0.27664705882352936,163.23614597412626
0.33799999999999997,701990,Naive Last,8.943737030029297,,,,5.46715903561163,,0.033,164.42048517520212,0.0,200.0
1.7109999999999999,702000,Prophet,14.670964241027832,158.22234806947307,14.372932358011163,157.44821696796615,45.09970401556706,,43.818,184.96782270640693,41.88963636363636,184.30298139935405
943.907,710812,Share x Demand,9565.76953125,,3771.8612213566403,,827.7100620833729,13.117613326661317,374.007,86.48515760512447,0.0,200.0
3243.551,711290,ARIMA,2030.4249267578125,46.00423248378228,1615.8851060035422,66.98990823176268,1416.349652977281,78.42233056429184,32.412,196.04244614484355,30.67035,196.25311220941126
1.344,711311,Naive Drift,13.592109680175781,,7.850868314498319,,24.593798031541958,,2.656,65.60000000000001,2.649592592592593,65.38436569690337
1.472,711319,Prophet,152.89288330078125,196.18566096504787,141.21425190755866,195.87346368603568,186.38046364086946,,173.971,196.6439242375016,179.72226086956522,196.7504489536572
