year,product_sector,value,global_demand_index,demand_growth_rate_pct,demand_3yr_ma,value_std,global_demand_index_std,demand_growth_rate_pct_std,demand_3yr_ma_std,value_minmax,global_demand_index_minmax,demand_growth_rate_pct_minmax,demand_3yr_ma_minmax,value_robust,global_demand_index_robust,demand_growth_rate_pct_robust,demand_3yr_ma_robust
2015,Food,10243.046248,0.0592974774104515,,10243.046248,-0.2330818085216305,-0.2419966191197224,-0.04417860417700942,-0.23291256688204431,0.04886811946160018,0.05918980725095666,0.44700745750707577,0.05154241450814022,0.4694838429910466,0.4619367584112073,0.0,0.45143749716159726
2016,Food,9291.262409,0.0602428996243288,-9.291999820715835,9767.1543285,-0.2562219852285738,-0.23801327525473367,-0.4486978855882161,-0.2447266832033407,0.044317252225922886,0.060135337675196014,0.39074357242399177,0.04914169427649201,0.39664552641687534,0.47412142582951355,-0.46175214504711937,0.417146122100636
2017,Food,9668.870327,0.0595007404738461,4.064118538232542,9734.392994666669,-0.24704141965221194,-0.24114021161769097,0.05186053316585246,-0.24553999016000108,0.04612274989413715,0.05939309357926863,0.4603653745094162,0.048976423983539574,0.42554318568065874,0.46455642694610666,0.10962710484858687,0.4147854365332986
2018,Food,7971.404563999999,0.0452266931178236,-17.555988503226526,8977.1791,-0.2883109349563129,-0.3012810017637006,-0.7584143014170419,-0.2643379832864507,0.03800647284888184,0.0451174124560152,0.34766565344879274,0.04515652572067065,0.29563916382931543,0.28059150926874293,-0.8152883692447725,0.3602228255718281
2019,Food,8532.761999999999,0.053362986935021,7.042139581463092,8724.345630333333,-0.27466297232811293,-0.26700038556412703,0.16347031861052091,-0.2706146269909651,0.04069055200458624,0.05325463753047189,0.4758889859439552,0.04388106295066962,0.3385988453864144,0.38545263134201646,0.23702784989474546,0.34200438776894837
2020,Food,8803.355,0.0765788761810353,3.1712240421096998,8435.840521333334,-0.26808419931360083,-0.16918496654714765,0.018396779320483583,-0.27777682659417624,0.04198436764574847,0.07647318400173851,0.45571095904067493,0.04242564834132328,0.35930684418734254,0.6846606308270285,0.07142877703211759,0.32121555632563054
2021,Food,10190.897891,0.0669573982392606,15.761523771334907,9175.671630333332,-0.234349661732108,-0.2097231034440098,0.4902539727601023,-0.2594103647533807,0.04861877686978328,0.0668506048127154,0.5213407574885908,0.046157856093968316,0.46549302240726814,0.5606583521918556,0.6100460475527147,0.3745256147673474
2022,Food,12119.431355,0.0579416891607622,18.924077982403983,10371.228082,-0.18746232942659116,-0.24770895666304624,0.6087796620788215,-0.22973042607422356,0.0578398829598446,0.057833863821565405,0.5378262899951186,0.05218905024538259,0.6130802425499242,0.4444632649078531,0.7453411837825074,0.4606739039287347
2023,Food,11036.32536,0.0560805987987438,-8.936937412935265,11115.551535333332,-0.2137952666857304,-0.2555502816995423,-0.43539091475873265,-0.21125244084684672,0.05266111086534263,0.0559725604443894,0.39259441591145694,0.05594392041671273,0.5301920760203465,0.4204774025452489,-0.4465624554403406,0.5143076675188794
2024,Food,11241.973863,0.0595430915817461,1.8633784007977103,11465.910192666664,-0.2087954521228585,-0.24096177385374518,-0.030618445656983274,-0.20255471398428918,0.05364440034349984,0.05943544953455708,0.44889351643118325,0.05771136609613707,0.5459299885071315,0.4651022509779348,0.015478699215417863,0.5395534841259254
2015,Fuels,35557.475972,0.205843903968903,,35557.475972,0.3823734587839312,0.3754468898217618,-0.04417860417700942,0.3955234395137713,0.1699067461962648,0.20575300710037112,0.44700745750707577,0.17924549392771752,2.4067519185538684,2.3506373228213904,0.0,2.2755210097206477
2016,Fuels,30147.545818,0.1954713468079846,-15.214606791157204,32852.510895,0.25084491773693285,0.3317442336701353,-0.6706643806694547,0.32837211637658054,0.14403966075488103,0.19537926272579367,0.3598706376952005,0.1655998233034325,1.992739630201484,2.2169550828358964,-0.7151232695947398,2.0806091648638056
2017,Fuels,35760.737915,0.220066079476923,18.619068135385564,33821.91990166667,0.3873152502770063,0.4353691285052888,0.5973485529328271,0.3524378974886139,0.17087862455640873,0.2199768104385165,0.5362363568549264,0.1704901770154515,2.4223071918681014,2.533933712504588,0.732292759613413,2.1504619328410532
