year,product_sector,value,global_demand_index,demand_growth_rate_pct,demand_3yr_ma
2017,Clothing,512.172829,0.0031518327938461536,9.22566543157064,468.32133999999996
2018,Clothing,752.832321,0.00427128194005007,46.987945938069274,577.9725593333334
2019,Clothing,885.503,0.005537841676578103,17.622872358053286,716.83605
2020,Clothing,663.289,0.005769837318072797,-25.094663710907817,767.2081069999999
2021,Clothing,764.458754,0.0050227339903259755,15.252741112848245,771.0835846666668
2022,Clothing,713.6412670000001,0.0034118416329613805,-6.647511946733486,713.7963403333333
2023,Clothing,938.7719940000001,0.00477032833318089,31.546764097093604,805.6240050000001
2024,Clothing,880.4858489999999,0.004663491499120781,-6.2087647876721945,844.2997033333332
2015,Electronic Data Processing And Office Equipment,631.5112310000001,0.0036558482748216296,,631.5112310000001
2016,Electronic Data Processing And Office Equipment,459.314801,0.0029781158075794473,-27.26735829025978,545.413016
2017,Electronic Data Processing And Office Equipment,893.830115,0.005500493015384615,94.60076467250617,661.552049
2018,Electronic Data Processing And Office Equipment,362.10135299999996,0.002054424240821875,-59.488794691147774,571.7487563333333
2019,Electronic Data Processing And Office Equipment,330.569,0.002067343402771924,-8.70815663591291,528.8334893333332
2020,Electronic Data Processing And Office Equipment,250.006,0.0021747593410144112,-24.371008775777526,314.22545099999996
2021,Electronic Data Processing And Office Equipment,272.51082,0.0017904816331602944,9.001711958912995,284.36194000000006
2022,Electronic Data Processing And Office Equipment,244.02790099999999,0.001166670974250117,-10.452032326643046,255.514907
2023,Electronic Data Processing And Office Equipment,280.426733,0.001424976030773296,14.915848495537421,265.6551513333334
2024,Electronic Data Processing And Office Equipment,367.14504,0.00194458295375098,30.923694781980714,297.19989133333337
2015,Food,10243.046248,0.05929747741045157,,10243.046248
2016,Food,9291.262409,0.06024289962432889,-9.291999820715835,9767.1543285
2017,Food,9668.870327,0.05950074047384616,4.064118538232542,9734.392994666667
2018,Food,7971.4045639999995,0.04522669311782365,-17.555988503226526,8977.1791
2019,Food,8532.761999999999,0.05336298693502102,7.042139581463092,8724.345630333333
2020,Food,8803.355,0.07657887618103534,3.1712240421096993,8435.840521333334
2021,Food,10190.897890999999,0.06695739823926065,15.761523771334907,9175.671630333332
2022,Food,12119.431355,0.05794168916076227,18.924077982403986,10371.228082
2023,Food,11036.325359999999,0.05608059879874386,-8.936937412935265,11115.551535333332
2024,Food,11241.973863,0.059543091581746144,1.8633784007977106,11465.910192666664
2015,Fuels,35557.475972,0.20584390396890304,,35557.475972
2016,Fuels,30147.545818,0.19547134680798464,-15.214606791157204,32852.510895
2017,Fuels,35760.737915,0.22006607947692305,18.619068135385564,33821.91990166667
2018,Fuels,42383.226118,0.2404661745106874,18.51888017171528,36097.16995033333
2019,Fuels,35549.504,0.22232282085196772,-16.123647829389142,37897.82267766666
2020,Fuels,20442.477,0.17782560342240689,-42.49574621350555,32791.735706
2021,Fuels,34790.176838,0.2285823830512039,70.18572083021056,30260.719279333334
2022,Fuels,59533.766271,0.2846244909354293,71.12234452908417,38255.473369666666
2023,Fuels,51205.16516700001,0.260196780221958,-13.98970974906556,48509.70275866667
2024,Fuels,45649.823701,0.2417841979036461,-10.849181811799403,52129.58504633334
2015,Fuels And Mining Products,36460.26445,0.21107018900994476,,36460.26445
