label_year,feature_year,Exporter_ISO3,Product,Market_Share_T,Export_Growth_Rate_T,opp_score_T,class_T,Global_Demand_T,Untapped_Potential_T,pred_label,prob_Low,prob_Medium,prob_High
2023,2022,DZA,700992,1e-04,-76.9001,0.43009594,Medium,2244292.5,2244290.5,High,7.647326e-05,0.20455886,0.7953646
2023,2022,DZA,280800,0.0052,285.0862,0.68501353,High,666691.94,666657.06,High,0.0027068926,0.20476624,0.7925269
2023,2022,DZA,851410,0.0,-79.6971,0.44571978,Medium,1865377.2,1865376.8,High,0.00038095546,0.20744798,0.7921711
2023,2022,DZA,252329,0.4698,1202.2557,0.708042,High,8528221.0,8488158.0,High,0.0002941296,0.20816489,0.791541
2023,2022,DZA,850131,0.0002,3783.8635,0.7539981,High,15348486.0,15348452.0,High,9.797142e-05,0.20845272,0.79144937
2023,2022,DZA,320710,0.0,-39.0244,0.4771749,Medium,1208390.1,1208390.0,High,0.00031467338,0.20987904,0.78980625
2023,2022,DZA,950490,0.0,638.9049,0.7748678,High,6090003.0,6090000.5,High,3.0834457e-05,0.21052414,0.78944504
2023,2022,DZA,711419,0.0,-98.7387,0.37161696,Medium,800388.2,800388.0,High,0.0010047973,0.21053728,0.78845793
2023,2022,DZA,381900,0.0,148.4848,0.6512665,High,1103301.5,1103301.4,High,0.00036299386,0.21195787,0.78767914
2023,2022,DZA,848130,0.0002,-61.6958,0.4526102,Medium,3500078.0,3500072.5,High,4.6425055e-05,0.21281268,0.78714085
2023,2022,DZA,848020,0.0,-66.242,0.38195288,Medium,273202.1,273201.97,High,0.03423519,0.17920277,0.786562
2023,2022,DZA,180500,1e-04,-83.4784,0.43579075,Medium,3255636.8,3255634.5,High,7.713599e-05,0.21427733,0.78564554
2023,2022,DZA,910111,0.0,-89.7136,0.44472027,Medium,2511523.5,2511523.0,High,0.00018527078,0.21622299,0.78359175
2023,2022,DZA,950440,0.0,11200.0,0.73412126,High,2116467.5,2116467.2,High,0.00028454396,0.21734622,0.7823692
2023,2022,DZA,721310,0.5523,-56.0953,0.42293474,Medium,3622583.2,3602577.5,High,0.00044920383,0.2183795,0.7811713
2023,2022,DZA,960830,0.0,2200.0,0.6663842,High,463929.53,463929.5,High,0.012755466,0.20656726,0.78067726
2023,2022,DZA,610510,1e-04,239.2843,0.70702624,High,5874914.0,5874905.5,High,9.983334e-05,0.22002451,0.77987564
2023,2022,DZA,870510,0.0005,-92.176,0.40227315,Medium,4289351.5,4289330.5,High,0.00022230238,0.22062531,0.7791524
2023,2022,DZA,90710,0.0,-75.7962,0.4034929,Medium,660046.56,660046.56,High,0.003969957,0.21801667,0.7780134
2023,2022,DZA,830890,0.0,-96.9408,0.43223158,Medium,2661199.0,2661198.0,High,4.6774563e-05,0.22322562,0.77672756
