Year,Product,Global_Demand,Untapped_Potential,Algeria_Exports,Algeria_Market_Share,Market_Share,Export_Growth_Rate,cluster,Opportunity_Label
2024,291714,13.209176684446069,13.209176684446069,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,291830,13.714144743961945,13.714144743961945,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,380610,13.342781044068435,13.342781044068435,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,382600,16.880624975135657,16.880624975135657,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,430180,11.464681747471616,11.464681747471616,0.0,0.0,0.0,0.0,2,Low Priority
2024,720529,13.815800219008462,13.815800219008462,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,30442,12.379633749701668,12.379633749701668,0.0,0.0,0.0,0.0,2,Low Priority
2024,30779,12.382739557411588,12.382739557411588,0.0,0.0,0.0,0.0,2,Low Priority
2024,151329,14.812701761219776,14.812701761219776,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,253010,12.470834648508426,12.470834648508426,0.0,0.0,0.0,0.0,2,Low Priority
2024,281420,11.999722486292306,11.999722486292306,0.0,0.0,0.0,0.0,2,Low Priority
2024,282510,12.558136291256979,12.558136291256979,0.0,0.0,0.0,0.0,2,Low Priority
2024,282760,12.97302168085898,12.97302168085898,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,282990,12.63160813593462,12.63160813593462,0.0,0.0,0.0,0.0,2,Low Priority
2024,283319,11.697653016702324,11.697653016702324,0.0,0.0,0.0,0.0,2,Low Priority
2024,283522,12.160556902587466,12.160556902587466,0.0,0.0,0.0,0.0,2,Low Priority
2024,283524,13.22742051544782,13.22742051544782,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,283719,11.224019777540219,11.224019777540219,0.0,0.0,0.0,0.0,2,Low Priority
2024,284150,10.420777716066262,10.420777716066262,0.0,0.0,0.0,0.0,2,Low Priority
2024,284170,12.630516522048119,12.630516522048119,0.0,0.0,0.0,0.0,2,Low Priority
2024,284321,12.658667203076176,12.658667203076176,0.0,0.0,0.0,0.0,2,Low Priority
2024,290230,14.900060835702744,14.900060835702744,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,290410,13.310655806343268,13.310655806343268,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,290514,13.338174397699516,13.338174397699516,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,290519,14.60706970327057,14.60706970327057,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,290711,14.676900784861477,14.676900784861477,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,290715,11.099089912231156,11.099089912231156,0.0,0.0,0.0,0.0,2,Low Priority
2024,290719,13.68019378392301,13.68019378392301,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,291010,13.022783824181515,13.022783824181515,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,291539,14.566012226334855,14.566012226334855,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,291540,12.67029735267459,12.67029735267459,0.0,0.0,0.0,0.0,2,Low Priority
2024,291712,14.20887479968781,14.20887479968781,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,291813,11.504377989155632,11.504377989155632,0.0,0.0,0.0,0.0,2,Low Priority
2024,292142,13.518150800754666,13.518150800754666,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,292229,13.267888103866131,13.267888103866131,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,292910,15.479971967491142,15.479971967491142,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,293020,12.789613771985545,12.789613771985545,0.0,0.0,0.0,0.0,2,Low Priority
2024,293299,15.267698896488195,15.267698896488195,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,293319,15.753919339265451,15.753919339265451,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,293359,16.990274399980883,16.990274399980883,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,293623,12.854116350973516,12.854116350973516,0.0,0.0,0.0,0.0,2,Low Priority
2024,310430,13.998262265563438,13.998262265563438,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,320415,13.090149747283768,13.090149747283768,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,320620,12.013642999699885,12.013642999699885,0.0,0.0,0.0,0.0,2,Low Priority
2024,350211,12.464190661276605,12.464190661276605,0.0,0.0,0.0,0.0,2,Low Priority
2024,380690,12.827894988575581,12.827894988575581,0.0,0.0,0.0,0.0,2,Low Priority
2024,380992,13.812313081480413,13.812313081480413,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,381220,13.693081111189013,13.693081111189013,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,382311,14.218418470566586,14.218418470566586,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,382370,15.239875049416979,15.239875049416979,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,390910,13.980116350697463,13.980116350697463,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,390940,14.608856122929355,14.608856122929355,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,400122,16.279784339731624,16.279784339731624,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,400270,14.649512781508031,14.649512781508031,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,470691,10.13245845182917,10.13245845182917,0.0,0.0,0.0,0.0,2,Low Priority
2024,470693,12.238069265140979,12.238069265140979,0.0,0.0,0.0,0.0,2,Low Priority
2024,480630,10.838299561716319,10.838299561716319,0.0,0.0,0.0,0.0,2,Low Priority
2024,481110,11.203994737027255,11.203994737027255,0.0,0.0,0.0,0.0,2,Low Priority
2024,510310,10.431773710096104,10.431773710096104,0.0,0.0,0.0,0.0,2,Low Priority
2024,511120,10.607262779792526,10.607262779792526,0.0,0.0,0.0,0.0,2,Low Priority
2024,521049,12.017127698433836,12.017127698433836,0.0,0.0,0.0,0.0,2,Low Priority
2024,560500,12.111225360573494,12.111225360573494,0.0,0.0,0.0,0.0,2,Low Priority
2024,560600,13.313862942134397,13.313862942134397,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,591120,12.745601320049934,12.745601320049934,0.0,0.0,0.0,0.0,2,Low Priority
2024,700330,10.886796634478875,10.886796634478875,0.0,0.0,0.0,0.0,2,Low Priority
2024,721012,15.706655873204413,15.706655873204413,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,721510,13.42481291313967,13.42481291313967,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,722692,13.894585828282704,13.894585828282704,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,722710,11.206971921204435,11.206971921204435,0.0,0.0,0.0,0.0,2,Low Priority
2024,842860,13.006764252278382,13.006764252278382,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,843330,13.304236638728884,13.304236638728884,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,844629,11.075773106982071,11.075773106982071,0.0,0.0,0.0,0.0,2,Low Priority
2024,846595,13.032019757199379,13.032019757199379,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,854160,15.699199004897277,15.699199004897277,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,900140,12.75388601527131,12.75388601527131,0.0,0.0,0.0,0.0,2,Low Priority
2024,681280,8.963984870724431,8.963984870724431,0.0,0.0,0.0,0.0,2,Low Priority
2024,10613,12.52196286456663,12.52196286456663,0.0,0.0,0.0,0.0,2,Low Priority
2024,51000,13.368176537195753,13.368176537195753,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,51110,13.264530923124624,13.264530923124624,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,110900,14.397361540953936,14.397361540953936,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,120925,12.89986564750257,12.89986564750257,0.0,0.0,0.0,0.0,2,Low Priority
2024,121020,13.462083051103573,13.462083051103573,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,150500,12.241003680772423,12.241003680772423,0.0,0.0,0.0,0.0,2,Low Priority
2024,151530,14.065605863305594,14.065605863305594,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,160569,10.595041589716821,10.595041589716821,0.0,0.0,0.0,0.0,2,Low Priority
2024,170211,14.107062281648885,14.107062281648885,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,281310,11.505638781456614,11.505638781456614,0.0,0.0,0.0,0.0,2,Low Priority
2024,282590,13.887319165675995,13.887319165675995,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,282630,11.08685735515172,11.08685735515172,0.0,0.0,0.0,0.0,2,Low Priority
2024,283010,12.841520167862674,12.841520167862674,0.0,0.0,0.0,0.0,2,Low Priority
2024,284011,11.401193886009644,11.401193886009644,0.0,0.0,0.0,0.0,2,Low Priority
2024,284190,15.619502878669971,15.619502878669971,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,284990,13.621232125387666,13.621232125387666,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,290219,13.963186297392433,13.963186297392433,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,290244,13.06441759578936,13.06441759578936,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,290619,13.450691460252067,13.450691460252067,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,290629,12.69861203864922,12.69861203864922,0.0,0.0,0.0,0.0,2,Low Priority
2024,290899,11.528752435098271,11.528752435098271,0.0,0.0,0.0,0.0,2,Low Priority
2024,291560,13.497057046470717,13.497057046470717,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,291713,12.857798063203102,12.857798063203102,0.0,0.0,0.0,0.0,2,Low Priority
2024,292090,14.380017784427677,14.380017784427677,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,292212,12.761012977679313,12.761012977679313,0.0,0.0,0.0,0.0,2,Low Priority
2024,292219,14.716835266716553,14.716835266716553,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,292429,15.60328729178701,15.60328729178701,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,293212,11.0831522850764,11.0831522850764,0.0,0.0,0.0,0.0,2,Low Priority
2024,293349,14.279436629337551,14.279436629337551,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,293722,13.59756522372864,13.59756522372864,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,350110,14.178472367980891,14.178472367980891,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,350220,14.886037335850462,14.886037335850462,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,350710,11.944551427599066,11.944551427599066,0.0,0.0,0.0,0.0,2,Low Priority
