country_code,NE.IMP.GNFS.ZS_std,NY.GDP.MKTP.CD_std,NY.GDP.MKTP.KD.ZG_std,NY.GDP.PCAP.CD_std,SP.POP.TOTL_std,TG.VAL.TOTL.GD.ZS_std,country_cluster
ABW,0.9094824511965274,-0.1886327527629705,-0.0336371140285026,0.5802787936939664,-0.1719019884025517,-0.5006986464002129,0
ABW,0.9405340628822524,-0.1886028743740281,-0.3773817396851993,0.6029045832039879,-0.1719013316905931,-0.5897844880149603,0
ABW,0.8616515771388694,-0.1889741316591109,-4.722812986607271,0.2863910505586759,-0.1719027029942084,-0.6274388262162944,0
ABW,0.98416097665184,-0.1888004306998867,1.9586051719503248,0.4465133534554897,-0.1719046775823688,-0.5585988290838094,0
ABW,1.264133107473861,-0.1886124564111699,1.250452205774731,0.61615371355217,-0.1719055457778396,-0.395629177031417,0
ABW,1.1432046797560742,-0.1883958220021992,0.7437266891043747,0.8065075060709015,-0.1719054366968702,-0.5728925690107467,0
ABW,1.1339449604309677,-0.1882130273853069,0.5887457996494138,0.95821409680098,-0.1719040208704102,-0.6231706509018767,0
AFG,-0.2149541462517225,-0.1885287272407998,0.0353672715970681,-0.6200689192179916,-0.1273314620081596,-0.65617509721634,0
AFG,-0.2149541462517225,-0.1888289922017868,-2.2206905692755634,-0.6215228018761674,-0.1269886806271692,-0.023065762389729,0
AFG,-0.2149541462517225,-0.1883996517110325,4.35753106204271,-0.61990744937821,-0.1245537039916245,0.0768617122229892,0
AFG,-0.2149541462517225,-0.1881047320017944,0.938395857080461,-0.619108065407164,-0.1215374326439939,-0.347926654733696,0
AFG,-0.2149541462517225,-0.1878061198772511,-0.3446902570230024,-0.6181892572071257,-0.119695066201504,-0.4016053785621708,0
AFG,-0.2149541462517225,-0.1873911043990578,1.3530698779224932,-0.6168880336991747,-0.1178163958314832,-0.4384587393895243,0
AFG,-0.2149541462517225,-0.1870651096964181,0.3373622578072045,-0.6160839427303179,-0.1155467837194099,-0.4558620942771765,0
AFG,-0.2149541462517225,-0.1858874897385342,1.802193049356949,-0.6119899160697662,-0.1144654173207402,-0.6967155925281319,0
AFG,-0.2149541462517225,-0.1857341810090892,0.0896030393235015,-0.6117687648723595,-0.1131903498341192,-0.7077757918019407,0
AFG,-0.2149541462517225,-0.1847556240452511,3.110540615751059,-0.6089464032052051,-0.11100098569725,-0.8348738613476119,0
AFG,-0.2149541462517225,-0.1832961739629796,1.894923674437467,-0.6045889578114861,-0.1091800280646119,-0.7143663670692642,0
AFG,-0.2149541462517225,-0.1824696595798624,-0.5155392680731948,-0.6027397785315601,-0.1068122608892146,-0.6208873324363449,0
AFG,-0.2149541462517225,-0.1815779031698366,1.616422431871819,-0.6009448110622975,-0.1041134507808198,-0.3964294170688832,0
AFG,-0.2149541462517225,-0.1814764836355225,0.3794519395674684,-0.6015199571603903,-0.1017477962144012,-0.4635928570715451,0
AFG,-0.2149541462517225,-0.1813277133961731,-0.1180318083701015,-0.6020028762986972,-0.0991436127338916,-0.5763828006287088,0
